modo,hilos,repeticion,n,area,valor_exacto,error_absoluto,tiempo_segundos
secuencial,1,1,1000000000,0.333333332833401,0.333333333333333,4.999320957210784e-10,0.969472
openmp,1,1,1000000000,0.333333332833401,0.333333333333333,4.999320957210784e-10,0.951679
openmp,2,1,1000000000,0.333333332833332,0.333333333333333,5.00001373637815e-10,0.486464
openmp,4,1,1000000000,0.333333332833382,0.333333333333333,4.999518021797655e-10,0.247821
openmp,8,1,1000000000,0.333333332833345,0.333333333333333,4.999882174949732e-10,0.177684
secuencial,1,2,1000000000,0.333333332833401,0.333333333333333,4.999320957210784e-10,0.947983
openmp,1,2,1000000000,0.333333332833401,0.333333333333333,4.999320957210784e-10,0.972391
openmp,2,2,1000000000,0.333333332833332,0.333333333333333,5.00001373637815e-10,0.483967
openmp,4,2,1000000000,0.333333332833382,0.333333333333333,4.999518021797655e-10,0.251094
openmp,8,2,1000000000,0.333333332833345,0.333333333333333,4.999882174949732e-10,0.17115
secuencial,1,3,1000000000,0.333333332833401,0.333333333333333,4.999320957210784e-10,0.952859
openmp,1,3,1000000000,0.333333332833401,0.333333333333333,4.999320957210784e-10,0.961367
openmp,2,3,1000000000,0.333333332833332,0.333333333333333,5.00001373637815e-10,0.498996
openmp,4,3,1000000000,0.333333332833382,0.333333333333333,4.999516911574631e-10,0.252288
openmp,8,3,1000000000,0.333333332833345,0.333333333333333,4.999882174949732e-10,0.176285
secuencial,1,4,1000000000,0.333333332833401,0.333333333333333,4.999320957210784e-10,0.968027
openmp,1,4,1000000000,0.333333332833401,0.333333333333333,4.999320957210784e-10,0.974077
openmp,2,4,1000000000,0.333333332833332,0.333333333333333,5.00001373637815e-10,0.482953
openmp,4,4,1000000000,0.333333332833382,0.333333333333333,4.999517466686143e-10,0.249027
openmp,8,4,1000000000,0.333333332833345,0.333333333333333,4.999882174949732e-10,0.166665
secuencial,1,5,1000000000,0.333333332833401,0.333333333333333,4.999320957210784e-10,0.958741
openmp,1,5,1000000000,0.333333332833401,0.333333333333333,4.999320957210784e-10,0.952392
openmp,2,5,1000000000,0.333333332833332,0.333333333333333,5.00001373637815e-10,0.486378
openmp,4,5,1000000000,0.333333332833382,0.333333333333333,4.999517466686143e-10,0.271869
openmp,8,5,1000000000,0.333333332833345,0.333333333333333,4.999882174949732e-10,0.170192
